premise,hypothesis,label,triplet_nr
Bicyclists waiting at an intersection.,The bicyclists are in a race.,1,61
Bicyclists waiting at an intersection.,The bicyclists are at home.,2,61
Bicyclists waiting at an intersection.,A group of bicyclists remain on the sidewalk at the intersection.,1,61
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is watchingt v,2,90
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile,0,90
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is very happy,1,90
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People are looking at sculptures at a museum.,0,103
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are people next to sculptures.,0,103
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are happily standing.,1,103
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",The sculptures are a recent creation.,1,105
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are standing.,0,105
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",Tall people standing,1,105
A car sinking in water.,A car is flooding.,0,125
A car sinking in water.,A car has crashed into a large lake.,1,125
A car sinking in water.,A truck drives down a country road in the sunshine.,2,125
"Two female medical professionals, one african american& one white, looking over paperwork in a hospital.",Coworkers at at a monthly safety meeting.,1,129
"Two female medical professionals, one african american& one white, looking over paperwork in a hospital.",Coworkers left work and are driving to lunch.,2,129
"Two female medical professionals, one african american& one white, looking over paperwork in a hospital.",There are people at work.,0,129
Indian lady and a guy in a blue suit dancing in the sunlight.,A woman eats a pickle.,2,171
Indian lady and a guy in a blue suit dancing in the sunlight.,Two people dancing outdoors.,0,171
Indian lady and a guy in a blue suit dancing in the sunlight.,Two people dancing while a band performs.,1,171
A driver is racing his Ford vehicle on a gravel track.,A man has parked his truck.,2,202
A driver is racing his Ford vehicle on a gravel track.,A Ford is being driven on a track.,0,202
A driver is racing his Ford vehicle on a gravel track.,A man is racing his truck.,1,202
Two people pose for the camera.,People pose for a picture.,0,219
Two people pose for the camera.,People pose for a family picture.,1,219
Two people pose for the camera.,Two people are yelling.,2,219
The skier is wearing a yellow jumpsuit and sliding across a yellow rail.,The skier is in a competition.,1,249
The skier is wearing a yellow jumpsuit and sliding across a yellow rail.,The skier is wearing a jumpsuit.,0,249
The skier is wearing a yellow jumpsuit and sliding across a yellow rail.,The skateboard is wearing a blue jumpsuit.,2,249
Children's soccer game being played while the sun sets in the background.,Old men playing soccer while the sun sets.,2,253
Children's soccer game being played while the sun sets in the background.,Children playing soccer while the sun sets.,0,253
Children's soccer game being played while the sun sets in the background.,Girls playing soccer while the sun sets.,1,253
A woman is running a marathon in a park.,The woman is running in her backyard.,2,293
A woman is running a marathon in a park.,The woman is running fast.,1,293
A woman is running a marathon in a park.,The woman is outdoors.,0,293
A group of people point forwards while performing some kind of act.,A group of people point forwards while doing something.,0,294
A group of people point forwards while performing some kind of act.,A group of people fight using tigers.,2,294
A group of people point forwards while performing some kind of act.,A group of people point somewhere while speaking.,1,294
A woman talks to two other women and a man with notepads in an office building with large windows.,the woman is asleep at home,2,316
A woman talks to two other women and a man with notepads in an office building with large windows.,The people are outside of the building looking inside.,2,316
A woman talks to two other women and a man with notepads in an office building with large windows.,a woman is talking,0,316
A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,A man is teaching a woman a concept,1,325
A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,There is a man and a woman.,0,325
A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,Two people are looking at notes on an electronic tablet.,2,325
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,The man and woman are outdoors.,0,329
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A man and a woman are outside.,0,329
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A man and a woman are eating in a resteraunt.,2,329
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A man is stealing a woman's tablet,2,330
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A woman shows a cell phone to a person standing nearby.,2,330
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A couple are using a tablet to watch a video on the street.,1,330
People are fishing and walking next to the water.,People are fishing and walking next to the water.,0,354
People are fishing and walking next to the water.,People are swimming in the water.,2,354
People are fishing and walking next to the water.,People are enjoying the summer weather fishing.,1,354
Two men are on scaffolding as they paint above a storefront while a man on the sidewalk stands next to them talking on the phone.,Two men are painting their new store.,1,364
Two men are on scaffolding as they paint above a storefront while a man on the sidewalk stands next to them talking on the phone.,Three men are outside.,0,364
Two men are on scaffolding as they paint above a storefront while a man on the sidewalk stands next to them talking on the phone.,No one is on a phone.,2,364
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",He is wearing a multicolored shirt,0,382
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",The boy does not have his arms out,2,382
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",The boy is young.,0,382
"An elderly couple, both wearing white shirts, dancing and a young male sitting at a table.",The couple has been together a long time.,1,427
"An elderly couple, both wearing white shirts, dancing and a young male sitting at a table.",The couple is dancing together.,0,427
"An elderly couple, both wearing white shirts, dancing and a young male sitting at a table.",The couple is sitting with the male.,2,427
There are cars driving down a street with a sign displaying Welcome to Golden.,The cars are parked in a showroom.,2,453
There are cars driving down a street with a sign displaying Welcome to Golden.,The cars are green.,1,453
There are cars driving down a street with a sign displaying Welcome to Golden.,The cars are outside.,0,453
a man with a white covering is walking up a flight of stairs.,An old woman is falling down the stairs.,2,463
a man with a white covering is walking up a flight of stairs.,A man is climbing the stairs to his apartment after a long day at work.,1,463
a man with a white covering is walking up a flight of stairs.,A human walks up some stairs.,0,463
A black-and-white dog carries a stick in his mouth as he swims in the clear water.,The water is empty,2,479
A black-and-white dog carries a stick in his mouth as he swims in the clear water.,A dog is outside,0,479
A black-and-white dog carries a stick in his mouth as he swims in the clear water.,The dog is having a great time,1,479
There are four Eastern guys working on and hanging pictures of humans.,The men are hanging family photos.,1,567
There are four Eastern guys working on and hanging pictures of humans.,The women are working.,2,567
There are four Eastern guys working on and hanging pictures of humans.,The men are working.,0,567
A windsurfer is balancing on choppy water.,There is a windsurfer balancing on choppy water.,0,625
A windsurfer is balancing on choppy water.,There is a windsurfer who fell on the ground.,2,625
A windsurfer is balancing on choppy water.,There is a windsurfer who fell in choppy water.,1,625
Two people are next to a fountain with a red bottom and arches of water.,A man is sitting on the couch.,2,639
Two people are next to a fountain with a red bottom and arches of water.,Two people are next to a fountain together.,0,639
Two people are next to a fountain with a red bottom and arches of water.,Two people are next to a fountain in the park.,1,639
A woman in blue jeans and a dark jacket walks in front of a building.,A woman walked pasted the front of a building.,0,655
A woman in blue jeans and a dark jacket walks in front of a building.,The woman is headed to work.,1,655
A woman in blue jeans and a dark jacket walks in front of a building.,THe woman is wearing pink shorts and blue jacket.,2,655
People lean over in the snow.,The people are trying to get a better view of something.,1,709
People lean over in the snow.,There is snow and more than one person.,0,709
People lean over in the snow.,The day is warm and summery.,2,709
