premise,hypothesis,label,triplet_nr,measure_1,range_bin,triplet_avg_measure_1
A man runs on a track outside.,A man outside runs on a track.,0,26429,1.0000000000000002,6,0.6330550570792051
A man runs on a track outside.,A man runs outside on a track in a relay race.,1,26429,0.6905916960350802,4,0.6330550570792051
A man runs on a track outside.,A man is asleep by a tree.,2,26429,0.20857347520253472,1,0.6330550570792051
The three dogs are playing with each other.,the dogs are playing with a ball,1,147795,0.5018230160951206,3,0.5328613169872255
The three dogs are playing with each other.,the dogs are playing with each other,0,147795,0.8199179482344476,5,0.5328613169872255
The three dogs are playing with each other.,the dogs are chasing a rabbit,2,147795,0.27684298663210843,1,0.5328613169872255
A brown dog laying on a blue sheet.,A brown dog laying down.,1,18690,0.5134035342641292,3,0.5303227198069428
A brown dog laying on a blue sheet.,The brown dog ran through the field.,2,18690,0.2139056836965778,1,0.5303227198069428
A brown dog laying on a blue sheet.,A brown dog laying on a sheet.,0,18690,0.8636589414601215,6,0.5303227198069428
"A boy wearing heavy-duty boots and a sweater, steers his wagon as he walks to the park.",A boy steers his favorite wagon as he walks to the park to meet his parents.,1,64606,0.5621457355742889,3,0.4948296851568215
"A boy wearing heavy-duty boots and a sweater, steers his wagon as he walks to the park.",A boy rides his bike to the gas station.,2,64606,0.2517516238610955,1,0.4948296851568215
"A boy wearing heavy-duty boots and a sweater, steers his wagon as he walks to the park.",A boy rides his bike to the gas station.,2,64606,0.2517516238610955,1,0.4948296851568215
"A boy wearing heavy-duty boots and a sweater, steers his wagon as he walks to the park.",A boy steers his wagon as he walks to the park.,0,64606,0.6705916960350802,4,0.4948296851568215
"A boy wearing heavy-duty boots and a sweater, steers his wagon as he walks to the park.",A boy steers his favorite wagon as he walks to the park to meet his parents.,1,64606,0.5621457355742889,3,0.4948296851568215
"A boy wearing heavy-duty boots and a sweater, steers his wagon as he walks to the park.",A boy steers his wagon as he walks to the park.,0,64606,0.6705916960350802,4,0.4948296851568215
The blond girl with the blue stripe shirt is swinging.,The blond girl with the blue stripe shirt is swinging from a tree.,1,67698,0.8084839355228333,5,0.49143646118073847
The blond girl with the blue stripe shirt is swinging.,A person is swinging.,0,67698,0.2360281302823083,1,0.49143646118073847
The blond girl with the blue stripe shirt is swinging.,The girl with the solid red shirt is sitting in class.,2,67698,0.4297973177370739,3,0.49143646118073847
A child is diving into a pool.,A little boy is diving into a pool.,-1,12158,0.6321331938706274,4,0.4807122045042458
A child is diving into a pool.,A child is near a pool.,0,12158,0.5790596077241925,4,0.4807122045042458
A child is diving into a pool.,A man is leaving a hotel.,2,12158,0.2309438119179174,1,0.4807122045042458
a group of men are sitting at a table talking.,A group of men are standing around a demonic totem in ritualistic poses.,2,28259,0.32160942045667557,2,0.4679275815150386
a group of men are sitting at a table talking.,A group of men are talking.,0,28259,0.6905916960350802,4,0.4679275815150386
a group of men are sitting at a table talking.,A groupf of men are talking about erectile dysfunction.,1,28259,0.39158162805336016,2,0.4679275815150386
